rank	word	frequency
1627	communauté	57
1628	compter	57
1629	compétition	57
1630	doux	57
1631	fonds	57
1632	gestes	57
1633	influence	57
1634	investissement	57
1635	ménages	57
1636	phase	57
1637	pourra	57
1638	quitter	57
1639	rapide	57
1640	réalisé	57
1641	répond	57
1642	seraient	57
1643	su	57
1644	température	57
1645	vendredi	57
1646	vert	57
1647	victime	57
1648	victoire	57
1649	zones	57
1650	États-Unis	57
1651	émissions	57
1652	Face	56
1653	Grand	56
1654	Nicolas	56
1655	PSL	56
1656	adultes	56
1657	américaine	56
1658	anciens	56
1659	archives	56
1660	bar	56
1661	collectif	56
1662	cérémonie	56
1663	enseignants	56
1664	entretiens	56
1665	fleurs	56
1666	indique	56
1667	jeudi	56
1668	journal	56
1669	législatives	56
1670	marqué	56
1671	proposition	56
1672	recours	56
1673	ventre	56
1674	venue	56
1675	vieille	56
1676	écart	56
1677	écrivain	56
1678	émotion	56
1679	équilibre	56
1680	Quelle	55
1681	amie	55
1682	aspect	55
1683	associations	55
1684	carbone	55
1685	chaîne	55
1686	clairement	55
1687	classes	55
1688	côtés	55
1689	débats	55
1690	ennui	55
1691	habitudes	55
1692	locale	55
1693	légèrement	55
1694	mille	55
1695	naturel	55
1696	préféré	55
1697	présenter	55
1698	réussite	55
1699	scientifiques	55
1700	siège	55
1701	tenter	55
1702	tourner	55
1703	utilisé	55
1704	village	55
1705	étions	55
1706	-tu	54
1707	Russie	54
1708	alliance	54
1709	assure	54
1710	augmenter	54
1711	biens	54
1712	blancs	54
1713	construire	54
1714	couverture	54
1715	dessus	54
1716	efficacité	54
1717	espoir	54
1718	eut	54
1719	journaliste	54
1720	lancé	54
1721	liées	54
1722	mardi	54
1723	matériel	54
1724	membre	54
1725	morts	54
1726	ouvrage	54
1727	ouvrages	54
1728	pluie	54
